iter	Logloss
0	0.6096841061
1	0.5494794749
2	0.501834985
3	0.4635936853
4	0.4335869298
5	0.4124337399
6	0.3909222381
7	0.3742034989
8	0.3642496437
9	0.3543648383
10	0.3460912223
11	0.3405391038
12	0.3332387365
13	0.3269065317
14	0.3224024917
15	0.3188372333
16	0.3152438077
17	0.3104231478
18	0.3069545283
19	0.3053058855
20	0.3027493641
21	0.3009672839
22	0.2983017353
23	0.2956626199
24	0.2931632225
25	0.2906775619
26	0.2884779265
27	0.2871998103
28	0.2845142634
29	0.2830457591
30	0.2808205961
31	0.2792229893
32	0.2780212248
33	0.2765999611
34	0.2757814773
35	0.2739130849
36	0.2730840818
37	0.2722731504
38	0.2703793651
39	0.2694830076
40	0.2678431116
41	0.2668640445
42	0.265972253
43	0.2649681978
44	0.2635834626
45	0.2615044334
46	0.260571605
47	0.2601255359
48	0.2594613933
49	0.2588618115
50	0.2572466918
51	0.2560864073
52	0.2549100934
53	0.2530365761
54	0.2526448568
55	0.2522325419
56	0.2510789428
57	0.2502952922
58	0.2498363919
59	0.2487307847
60	0.2479295442
61	0.246424203
62	0.2456511681
63	0.2447765235
64	0.2445827831
65	0.2436016738
66	0.2431176696
67	0.2419355373
68	0.2410212623
69	0.2406362283
70	0.2398397272
71	0.2389431
72	0.2379088739
73	0.2378013303
74	0.2366642615
75	0.2361156579
76	0.2351084622
77	0.2343222108
78	0.2339553062
79	0.2328668459
80	0.2322209098
81	0.2312714162
82	0.2299654412
83	0.2292414001
84	0.2281475452
85	0.2269697478
86	0.2258657205
87	0.2244510073
88	0.2233362102
89	0.2223539256
90	0.2214288808
91	0.2208443459
92	0.2198619265
93	0.2188619749
94	0.2185680505
95	0.2179566971
96	0.2173090463
97	0.2169156315
98	0.2163135066
99	0.2154485336
100	0.2147492303
101	0.2137317079
102	0.2135258877
103	0.2125283444
104	0.2124028061
105	0.2115795829
106	0.2108109985
107	0.2107380568
108	0.2094938297
109	0.2089057499
110	0.208493358
111	0.2077698948
112	0.207178347
113	0.207084386
114	0.2060279654
115	0.2051999063
116	0.204509581
117	0.2030350656
118	0.2024832446
119	0.2017223474
120	0.2016563994
121	0.2007855502
122	0.2005178663
123	0.2002479861
124	0.2001582059
125	0.1997543104
126	0.1995846719
127	0.1990817677
128	0.1985181751
129	0.197212855
130	0.1965635858
131	0.1960412228
132	0.1958243437
133	0.1957765059
134	0.1949400468
135	0.1940712977
136	0.1928229476
137	0.1923049773
138	0.1914513906
139	0.1901736211
140	0.1893439823
141	0.1880987533
142	0.1876690604
143	0.1871686223
144	0.1866629629
145	0.1859519265
146	0.1857565292
147	0.1851077802
148	0.1845387353
149	0.183010294
150	0.1823207971
151	0.1819626779
152	0.1818800647
153	0.1814222239
154	0.1811190904
155	0.1805362123
156	0.1796807376
157	0.1785888479
158	0.1785701212
159	0.1780055653
160	0.1771514392
161	0.176656935
162	0.1762088236
163	0.1761527784
164	0.1757567049
165	0.1754820082
166	0.1744377637
167	0.1734660178
168	0.1731303437
169	0.1728875902
170	0.1721556307
171	0.1717076928
172	0.1712557475
173	0.1707240018
174	0.1702651207
175	0.1692083725
176	0.1681535124
177	0.1673591883
178	0.16656419
179	0.1658949226
180	0.1651280914
181	0.1644339899
182	0.1635937932
183	0.1635065753
184	0.1629686259
185	0.1629548699
186	0.1624764529
187	0.1617136869
188	0.1612639572
189	0.1612508562
190	0.1605211797
191	0.1599459311
192	0.1597498884
193	0.1591120537
194	0.1581689469
195	0.1578410948
196	0.1576991611
197	0.1575930528
198	0.1575728811
199	0.1569937889
200	0.1560645633
201	0.1557007125
202	0.1555248415
203	0.1548600052
204	0.1541338545
205	0.1538572408
206	0.153842165
207	0.153387089
208	0.1531211583
209	0.1531109184
210	0.1526321257
211	0.1521998704
212	0.1516534536
213	0.1511355699
214	0.1504019824
215	0.1500576096
216	0.1494237919
217	0.148695387
218	0.1483231747
219	0.1478210603
220	0.1477860923
221	0.1476798106
222	0.1471502516
223	0.1465479822
224	0.146322655
225	0.1456852441
226	0.1450442497
227	0.1444361138
228	0.1438722225
229	0.1433552058
230	0.1431263818
231	0.142559379
232	0.1420819254
233	0.1415336686
234	0.140942535
235	0.1404615845
236	0.1398982713
237	0.1395987116
238	0.1391264694
239	0.1385497662
240	0.1381728336
241	0.1377575711
242	0.1377132974
243	0.1373526063
244	0.137048991
245	0.1368301372
246	0.1363641565
247	0.1359981094
248	0.1354593412
249	0.1351762733
250	0.1349219313
251	0.1348018068
252	0.1347022779
253	0.1344261555
254	0.1341266825
255	0.1337850937
256	0.1333039602
257	0.1332055872
258	0.132409038
259	0.1321283591
260	0.1312352094
261	0.1307165165
262	0.1304389877
263	0.1299428651
264	0.1295810083
265	0.1287711847
266	0.1285017572
267	0.1279605422
268	0.1274488045
269	0.1270283978
270	0.1268835935
271	0.1263618277
272	0.1258428169
273	0.1252040959
274	0.1245122582
275	0.1242332266
276	0.1236536142
277	0.1232381878
278	0.1227244368
279	0.1224475629
280	0.1220379839
281	0.121675973
282	0.1215273058
283	0.1211861408
284	0.1207174629
285	0.1204574277
286	0.1201067838
287	0.1201016397
288	0.1199160297
289	0.119461811
290	0.1189630296
291	0.1186672557
292	0.1182435257
293	0.1177684707
294	0.1173803638
295	0.1166239941
296	0.1162155228
297	0.1158402376
298	0.1156273081
299	0.1153811541
300	0.1150972578
301	0.1144438657
302	0.1140042604
303	0.1138773735
304	0.1137348522
305	0.1134261507
306	0.1130874615
307	0.1128610649
308	0.1122678603
309	0.1115819758
310	0.1111175653
311	0.1105164807
312	0.1101316202
313	0.1098629345
314	0.1095711679
315	0.1092061129
316	0.1089039909
317	0.1086034486
318	0.1081783025
319	0.1077679817
320	0.1074010098
321	0.1072371993
322	0.1069444213
323	0.1066189776
324	0.1059215045
325	0.1058340169
326	0.1054355544
327	0.1050558379
328	0.1048661627
329	0.1043887476
330	0.1040918273
331	0.103854295
332	0.1034172906
333	0.1030442305
334	0.1027698132
335	0.102555747
336	0.1023100651
337	0.1021337798
338	0.1019530537
339	0.1016795804
340	0.1013379145
341	0.1008998216
342	0.1005695805
343	0.09995927714
344	0.0997564913
345	0.09932924521
346	0.09922372452
347	0.09879290456
348	0.09866054612
349	0.0984755622
350	0.09831006599
351	0.09811997654
352	0.09804868216
353	0.0979829557
354	0.09781549434
355	0.09742434338
356	0.09713162316
357	0.09678339717
358	0.09651293899
359	0.09624031337
360	0.09576115464
361	0.0955867382
362	0.09538848954
363	0.09519469136
364	0.09498366924
365	0.09481545651
366	0.09470903031
367	0.0944393813
368	0.094418439
369	0.09417244882
370	0.09386205192
371	0.09353520172
372	0.0933205094
373	0.09290992852
374	0.09272879784
375	0.09263908502
376	0.09240241003
377	0.09226589974
378	0.09225894466
379	0.09201845497
380	0.09182982011
381	0.09164627152
382	0.09145392794
383	0.09124505399
384	0.09124232783
385	0.09102632542
386	0.09082201755
387	0.09081902167
388	0.09076077047
389	0.09049144899
390	0.0903649571
391	0.09012246373
392	0.08998851583
393	0.08967494001
394	0.089341154
395	0.0890776509
396	0.08858138383
397	0.08856023923
398	0.08810657925
399	0.08776978772
400	0.08751999248
401	0.08742586772
402	0.08730616714
403	0.0872567302
404	0.08719491477
405	0.08701867768
406	0.08683046668
407	0.08676517371
408	0.0865427364
409	0.0860898278
410	0.08581020856
411	0.08537210599
412	0.08510502902
413	0.08488711925
414	0.08459731786
415	0.08446257042
416	0.0840411427
417	0.08381138426
418	0.08352191039
419	0.08336030594
420	0.08326482291
421	0.08309375879
422	0.08293016992
423	0.08258180907
424	0.08237971682
425	0.0822132284
426	0.08220776645
427	0.08210386411
428	0.08210118612
429	0.08209722692
430	0.0820227151
431	0.08192153892
432	0.08179755163
433	0.08175420279
434	0.08144613709
435	0.08125328295
436	0.08100419093
437	0.08056342
438	0.08034286114
439	0.08029533155
440	0.08029050538
441	0.08025450177
442	0.08007814427
443	0.08002773921
444	0.07988000157
445	0.07955255894
446	0.07932800717
447	0.07916884952
448	0.07897545593
449	0.07880039408
450	0.07851592459
451	0.07828410948
452	0.07822699499
453	0.07796323179
454	0.07779624245
455	0.07771045993
456	0.07767115217
457	0.07726884129
458	0.07713378078
459	0.07713161815
460	0.0769034877
461	0.07671426041
462	0.07646033258
463	0.07624033726
464	0.07579893054
465	0.0757323371
466	0.07560273373
467	0.07535028458
468	0.07525328916
469	0.07518477392
470	0.07510520473
471	0.07494175073
472	0.0747115299
473	0.07455192431
474	0.07439237652
475	0.07423721179
476	0.07404210832
477	0.07359243162
478	0.07354047082
479	0.07353671873
480	0.07352974439
481	0.07346933057
482	0.07323351773
483	0.07276921802
484	0.07254460845
485	0.07233564781
486	0.07215035564
487	0.07202713899
488	0.0718795603
489	0.07187616464
490	0.07181668522
491	0.07167617721
492	0.07163071873
493	0.07140423553
494	0.07114973454
495	0.07096717334
496	0.07062916804
497	0.07046020392
498	0.07038012418
499	0.06999291796
500	0.06986575656
501	0.06959667109
502	0.06929757378
503	0.06918466934
504	0.06896913894
505	0.06869570414
506	0.06826169563
507	0.0679670777
508	0.06788815874
509	0.06771696457
510	0.06759201878
511	0.06722534064
512	0.06718365833
513	0.06705316389
514	0.06685458289
515	0.06684581198
516	0.06678009033
517	0.06674663467
518	0.06674489108
519	0.06649087655
520	0.06630965917
521	0.06610498525
522	0.06596604261
523	0.06577429145
524	0.06562397697
525	0.06544069329
526	0.0652723216
527	0.06517218098
528	0.06506167518
529	0.0648967136
530	0.06480557509
531	0.06464576721
532	0.06442621501
533	0.06407959774
534	0.06400439233
535	0.06400287513
536	0.06379707895
537	0.06355520692
538	0.06335367819
539	0.06317709913
540	0.06302062911
541	0.06283253371
542	0.06267074142
543	0.06241262802
544	0.0623255932
545	0.06216395503
546	0.061907696
547	0.06186067215
548	0.06185520538
549	0.06170514617
550	0.06141775786
551	0.06120079696
552	0.06118189686
553	0.06098884043
554	0.06088535232
555	0.06069217065
556	0.06047141432
557	0.06022623814
558	0.05996476761
559	0.0599594935
560	0.05993004038
561	0.05970291176
562	0.05948176528
563	0.05935287957
564	0.05922540511
565	0.05908808564
566	0.05897600001
567	0.05887736696
568	0.05871419232
569	0.05862603043
570	0.05854414449
571	0.05840463349
572	0.05831086515
573	0.05814182397
574	0.05812897345
575	0.05797434335
576	0.05781314349
577	0.05770996845
578	0.05762227376
579	0.05746629503
580	0.05738911484
581	0.05714915497
582	0.05704426043
583	0.05689410007
584	0.05687085065
585	0.05686944904
586	0.05676416436
587	0.0567407897
588	0.05648820087
589	0.05634999998
590	0.05628658063
591	0.05620900549
592	0.05611950942
593	0.05597659795
594	0.0557958863
595	0.05561311317
596	0.05549004584
597	0.05548622151
598	0.05517491427
599	0.05507380071
600	0.05500665819
601	0.05482649562
602	0.05470735377
603	0.05454924612
604	0.05450631151
605	0.05442684829
606	0.05427698656
607	0.05417795856
608	0.05410936144
609	0.0539757507
610	0.0539040999
611	0.05385324208
612	0.05382725687
613	0.05371827309
614	0.05355061425
615	0.05339647544
616	0.05328961575
617	0.05306285319
618	0.05293223352
619	0.05284397048
620	0.05267784812
621	0.05252600198
622	0.05252081938
623	0.05250418788
624	0.05244180891
625	0.05226799936
626	0.05219887724
627	0.05210964126
628	0.05186296713
629	0.05174113765
630	0.05171160746
631	0.05165662669
632	0.05153468161
633	0.0514308756
634	0.05142861183
635	0.05125372338
636	0.05109516298
637	0.05104292764
638	0.05104031226
639	0.05087970483
640	0.0507038627
641	0.05035671562
642	0.05021516723
643	0.05017578241
644	0.0500629165
645	0.04993244133
646	0.04984369182
647	0.04977382795
648	0.04975894003
649	0.04975536616
650	0.04973587845
651	0.04965974827
652	0.04962190956
653	0.04960658815
654	0.0494074388
655	0.04922569159
656	0.04898897325
657	0.04893874159
658	0.04878541195
659	0.048668399
660	0.04856624025
661	0.04847692239
662	0.04845656771
663	0.04838349121
664	0.04831530831
665	0.04822068263
666	0.04821873674
667	0.04819432654
668	0.04807237182
669	0.04787857846
670	0.0478118646
671	0.04769766451
672	0.04748657015
673	0.04733636644
674	0.04725715849
675	0.04715158963
676	0.04707347022
677	0.04706087979
678	0.04696906215
679	0.0469345035
680	0.04693373767
681	0.04690445312
682	0.04689799415
683	0.04685844075
684	0.04685390357
685	0.04684793588
686	0.04662184282
687	0.04656236822
688	0.04650151609
689	0.04635364841
690	0.0463179097
691	0.04631239958
692	0.04628108728
693	0.04617616384
694	0.04607494913
695	0.04594247028
696	0.04588684891
697	0.04586568505
698	0.04567369789
699	0.04565607418
700	0.04556512351
701	0.04548220201
702	0.04543015451
703	0.04533294716
704	0.04522391522
705	0.04509063682
706	0.04507941429
707	0.04504108911
708	0.04491814218
709	0.04488051058
710	0.04471951302
711	0.04462401554
712	0.04454248602
713	0.04454100252
714	0.04452920201
715	0.04452763182
716	0.04448497657
717	0.04440419361
718	0.04431575717
719	0.04431237115
720	0.04431158124
721	0.04426563147
722	0.0441401077
723	0.04406552363
724	0.04390445382
725	0.04370999577
726	0.04355739825
727	0.04346590331
728	0.04334804265
729	0.04326806887
730	0.04315561237
731	0.04305995594
732	0.04299602605
733	0.0428841379
734	0.04266705657
735	0.04255557783
736	0.04246013333
737	0.0423486594
738	0.04225974131
739	0.04220770345
740	0.04214443342
741	0.04212017252
742	0.04200700798
743	0.04194410883
744	0.04184528794
745	0.04173819224
746	0.04168735851
747	0.04157578343
748	0.04150643493
749	0.04125034448
750	0.04116953262
751	0.04109177445
752	0.0410823244
753	0.04101566353
754	0.04091276304
755	0.04075543086
756	0.04071333914
757	0.04059200576
758	0.04041669826
759	0.04031318848
760	0.04024278997
761	0.04020301019
762	0.04013784004
763	0.04000937818
764	0.03994482936
765	0.03985749832
766	0.03977036235
767	0.03971757792
768	0.03962645627
769	0.03957947577
770	0.03942985487
771	0.0392729056
772	0.03914921693
773	0.03907611876
774	0.03899453626
775	0.03887636493
776	0.03874339961
777	0.03871847885
778	0.03861478844
779	0.03861422972
780	0.03848949105
781	0.03846225353
782	0.03842515656
783	0.03834018804
784	0.03823027466
785	0.03818616482
786	0.03810579608
787	0.03805666981
788	0.03801609531
789	0.03792721816
790	0.03786737991
791	0.03776166174
792	0.03772461053
793	0.03764525327
794	0.03757111231
795	0.03748473254
796	0.0374785168
797	0.0374619455
798	0.03744300929
799	0.03734716261
800	0.03724160339
801	0.03718167844
802	0.03709531553
803	0.03702906406
804	0.03699908353
805	0.03691995746
806	0.03690585946
807	0.03689533291
808	0.03689469231
809	0.03683364512
810	0.03680036526
811	0.0367013806
812	0.03668905027
813	0.03666791531
814	0.0366038361
815	0.03657619399
816	0.03657557025
817	0.03648965046
818	0.03640462895
819	0.03637952997
820	0.03632686355
821	0.03622385468
822	0.03615599931
823	0.03604449166
824	0.036001834
825	0.03593864826
826	0.03586925401
827	0.0358524467
828	0.03582479015
829	0.03580656678
830	0.03579350915
831	0.03575494073
832	0.03572895069
833	0.03566911004
834	0.03562731695
835	0.03559751944
836	0.03554244716
837	0.03550058663
838	0.03545402758
839	0.03545350739
840	0.03540127446
841	0.03535482378
842	0.0353112871
843	0.0352466853
844	0.03517227462
845	0.03512691247
846	0.03505582761
847	0.03492429521
848	0.03489071191
849	0.03484396019
850	0.03474369916
851	0.03467488048
852	0.03465409472
853	0.03463633855
854	0.03459443468
855	0.03452052974
856	0.03451598052
857	0.03444395162
858	0.03437113039
859	0.03430591448
860	0.0342631629
861	0.03417416293
862	0.03410097084
863	0.03406676379
864	0.03396512523
865	0.03387196377
866	0.03379367819
867	0.03378178375
868	0.03374034227
869	0.03368690279
870	0.03367740939
871	0.03364313492
872	0.0335835688
873	0.03355960653
874	0.03348960298
875	0.03345854595
876	0.03341126201
877	0.03339483762
878	0.03328498205
879	0.0332518539
880	0.03317298311
881	0.0331215425
882	0.03307351199
883	0.03301178807
884	0.03293888737
885	0.03289252339
886	0.03277992961
887	0.03273458914
888	0.0326311227
889	0.03255826295
890	0.03248833647
891	0.03240518618
892	0.0323489483
893	0.03229919106
894	0.03222562809
895	0.03221976155
896	0.03219765605
897	0.03218115701
898	0.03211544499
899	0.03208504783
900	0.03208085744
901	0.03206814178
902	0.03194763685
903	0.03191181867
904	0.03184398256
905	0.03179264069
906	0.03172472992
907	0.03165276364
908	0.03163706654
909	0.03163665714
910	0.03163279187
911	0.03159516508
912	0.03154479374
913	0.03150652876
914	0.03141392602
915	0.03137572366
916	0.03136544517
917	0.03136506225
918	0.03133711189
919	0.03130885327
920	0.03129305984
921	0.03126122976
922	0.0311833319
923	0.03118238064
924	0.03112464481
925	0.03105295788
926	0.0309773527
927	0.03090681211
928	0.03087031721
929	0.03075712377
930	0.03068344762
931	0.03060187956
932	0.03050024823
933	0.03044831632
934	0.03042846978
935	0.03035476954
936	0.0302023117
937	0.03014244937
938	0.03004332022
939	0.02999539086
940	0.02983601647
941	0.0297947532
942	0.02971121037
943	0.02960923705
944	0.02958172981
945	0.02953339346
946	0.02946358016
947	0.02942525016
948	0.02939721551
949	0.02934428176
950	0.02929482556
951	0.02928404134
952	0.02924766926
953	0.02920717422
954	0.02918744328
955	0.02909415418
956	0.02907962028
957	0.02904472929
958	0.02903154643
959	0.02902133055
960	0.02899447354
961	0.02895853014
962	0.02891558349
963	0.02882668225
964	0.02873862151
965	0.02866841326
966	0.02866522712
967	0.0286575616
968	0.02864584056
969	0.02864501452
970	0.02863199783
971	0.0285783103
972	0.0285590875
973	0.02855180249
974	0.02854512677
975	0.02850136612
976	0.02846181754
977	0.02845144272
978	0.02843331327
979	0.02839528671
980	0.02837707539
981	0.02837054657
982	0.02831339595
983	0.02830494052
984	0.02826112689
985	0.02825489189
986	0.02824440869
987	0.02818108327
988	0.02814081703
989	0.02808960038
990	0.02800117839
991	0.02793825516
992	0.02790942337
993	0.02785262195
994	0.02778276049
995	0.02775322307
996	0.02773036138
997	0.02771905938
998	0.02768151447
999	0.02763450266
